rank,county,state,pc_income,pop,households
1,New York,New York,62498,1605272,736192
2,Arlington,Virginia,62018,214861,94454
3,Falls Church,Virginia,59088,12731,5020
4,Marin,California,56791,254643,102912
5,Alexandria,Virginia,54608,143684,65369
6,Pitkin,Colorado,51814,17173,7507
7,Los Alamos,New Mexico,51044,17979,7590
8,Fairfax,Virginia,50532,1101071,389908
9,Hunterdon,New Jersey,50349,127047,46816
10,Borden,Texas,50042,649,225
11,Montgomery,Maryland,49038,989474,360563
12,Morris,New Jersey,48814,495261,179665
13,Fairfield,Connecticut,48721,926233,332655
14,San Francisco,California,48486,817501,345344
15,Howard,Maryland,48172,293821,106142
16,Westchester,New York,47984,956283,343561
17,Somerset,New Jersey,47803,326207,115531
18,Nantucket,Massachusetts,47331,10224,4069
19,Loudoun,Virginia,46565,326477,106997
20,North Slope,Alaska,46457,9484,1990
21,San Mateo,California,45732,729543,257941
22,Kalawao,Hawaii,45515,71,46
23,Washington City,District of Columbia,45290,619371,263649
24,Goochland,Virginia,45039,21565,8058
25,Norfolk,Massachusetts,44692,677296,257451
26,Fairfax City,Virginia,44345,23027,8492
27,Douglas,Colorado,43634,293014,103780
28,Teton,Wyoming,43444,21575,7583
29,Bergen,New Jersey,43347,912795,335422
30,Middlesex,Massachusetts,42861,1522533,581120
31,Monmouth,New Jersey,42749,629735,233909
32,Summit,Utah,42462,37232,13627
33,Nassau,New York,42400,1343765,441955
34,Mineral,Colorado,42255,761,393
35,Chester,Pennsylvania,42210,503075,184788
36,Ozaukee,Wisconsin,42041,86708,34108
37,Clear Creek,Colorado,41716,9048,4024
38,Santa Clara,California,41513,1812208,609377
39,Montgomery,Pennsylvania,41472,804621,307488
40,Williamson,Tennessee,41292,188935,66364
41,San Miguel,Colorado,40827,7496,3234
42,Anne Arundel,Maryland,40415,544426,199904
43,Putnam,New York,40309,99718,34496
44,Newport,Rhode Island,40293,82545,34774
45,Delaware County,Ohio,40189,178139,64208
46,Middlesex,Connecticut,39992,165690,66141
47,King,Washington,39911,1974567,802606
48,Fauquier,Virginia,39600,66015,23130
49,Hamilton,Indiana,39521,282977,103234
50,Eagle,Colorado,39497,52151,17966
51,James City County,Virginia,39133,68171,26883
52,Bristol,Rhode Island,38893,49426,19174
53,Johnson,Kansas,38827,552947,216304
54,Clarke,Virginia,38748,14191,5580
55,Williams,North Dakota,38738,25024,10411
56,DuPage,Illinois,38570,922803,336028
57,Poquoson City,Virginia,38444,12117,4591
58,Rockingham,New Hampshire,38399,296718,116262
59,Calvert,Maryland,38260,89332,30923
60,Contra Costa,California,38219,1065794,375855
61,Queen Anne's,Maryland,38108,48166,17292
62,Gilpin,Colorado,38022,5477,2504
63,Talbot,Maryland,38022,37859,16013
64,Lake,Illinois,38018,702099,241072
65,Boulder,Colorado,38011,301072,120521
66,Billings,North Dakota,37972,876,350
67,Sussex,New Jersey,37949,147924,54746
68,Collin,Texas,37839,811308,289752
69,San Juan,Washington,37719,15786,7753
70,Litchfield,Connecticut,37667,188629,75755
71,Waukesha,Wisconsin,37577,391200,153422
72,Juneau,Alaska,37558,31897,12099
73,Hennepin,Minnesota,37485,1170623,481263
74,Boone,Indiana,37482,58009,21908
75,Bucks,Pennsylvania,37466,625977,230366
76,Mercer,New Jersey,37465,368094,130754
77,Carver,Minnesota,37457,92770,33486
78,Broomfield,Colorado,37442,57171,22016
79,Prince William,Virginia,37401,416668,132442
80,Charles,Maryland,37277,148957,51247
81,Albemarle,Virginia,37239,100636,37964
82,Skagway,Alaska,37139,1080,412
83,Bristol Bay,Alaska,37024,933,384
84,Washington County,Rhode Island,37023,126627,49430
85,Suffolk,New York,36945,1495803,497347
86,Frederick,Maryland,36917,236668,86337
87,St. Johns,Florida,36836,197115,75558
88,Burlington,New Jersey,36835,449964,164979
89,Fulton,Georgia,36757,948554,368184
90,Washington County,Minnesota,36706,241315,88947
91,Stafford,Virginia,36574,131885,42178
92,Rappahannock,Virginia,36505,7448,3261
93,Oakland,Michigan,36458,1213406,486332
94,Collier,Florida,36439,328209,122972
95,York,Virginia,36373,65762,24071
96,Hinsdale,Colorado,36365,809,388
97,Divide,North Dakota,36303,2155,1035
98,Anchorage,Alaska,36214,295237,105208
99,Roberts,Texas,36172,1030,374
100,Union,South Dakota,36167,14575,5758
101,Carroll,Maryland,36153,167261,59909
102,Barnstable,Massachusetts,36142,215449,95398
103,Jefferson,Colorado,36087,540669,219562
104,Elbert,Colorado,36077,23295,8240
105,St. Mary's,Maryland,36017,107079,37589
106,Sublette,Wyoming,35944,10178,3502
107,Dallas,Iowa,35844,69526,26262
108,Kendall,Texas,35827,34951,12760
109,Alameda,California,35763,1535248,545071
110,Blaine,Idaho,35524,21294,9207
111,Scott,Minnesota,35467,132774,45630
112,Harford,Maryland,35425,246664,90708
113,Fayette,Georgia,35344,107105,37930
114,Denali,Alaska,35295,2020,716
115,Plymouth,Massachusetts,35220,497386,179617
116,Saratoga,New York,35176,221169,88460
117,Essex,Massachusetts,35167,750808,286008
118,Platte,Missouri,35143,90842,36781
119,Union,New Jersey,35089,540568,185483
120,Placer,California,34886,355924,132709
121,El Dorado,California,34884,180982,67885
122,Routt,Colorado,34873,23409,9647
123,Lincoln,South Dakota,34839,46693,17250
124,Dakota,Minnesota,34828,402306,154275
125,Napa,California,34795,137837,49431
126,St. Louis County,Missouri,34795,999725,403293
127,Hartford,Connecticut,34698,895827,347874
128,Rockwall,Texas,34617,81020,26820
129,Rockland,New York,34591,315069,98326
130,Forsyth,Georgia,34582,182916,58080
131,Orange,North Carolina,34465,136057,51403
132,Geauga,Ohio,34455,93610,34621
133,Tolland,Connecticut,34392,152366,54327
134,Hillsborough,New Hampshire,34390,402017,154324
135,Baltimore County,Maryland,34374,812261,313912
136,Middlesex,New Jersey,34345,817026,280988
137,Yakutat,Alaska,34317,607,254
138,King George,Virginia,34234,24151,8314
139,Petersburg Census Area,Alaska,34183,3806,1643
140,Douglas,Nevada,34123,47035,19455
141,Fort Bend,Texas,34084,608939,191406
142,Olmsted,Minnesota,34073,146063,57262
143,Loving,Texas,34068,87,33
144,Orange,California,34057,3051771,995512
145,Martin,Florida,34057,147786,59891
146,Summit,Colorado,34025,28091,11138
147,Monroe,Florida,33974,74213,28503
148,Denton,Texas,33855,687857,243394
149,Campbell,Wyoming,33850,46901,17108
150,Kent,Rhode Island,33814,165628,68880
151,Mountrail,North Dakota,33803,8280,3069
