rank,county,state,pc_income,pop,households
1,Holt,Nebraska,"$24,120 ","10,435","4,469"
2,Jackson,Kansas,"$24,117 ","13,430","5,273"
3,Marshall,Iowa,"$24,117 ","40,800","15,350"
4,Terrebonne,Louisiana,"$24,114 ","111,868","39,279"
5,Rock,Minnesota,"$24,101 ","9,601","3,970"
6,Wabash,Illinois,"$24,096 ","11,848","4,785"
7,Rock,Wisconsin,"$24,094 ","160,345","63,309"
8,Throckmorton,Texas,"$24,086 ","1,623",758
9,Franklin,Indiana,"$24,085 ","23,042","8,551"
10,Itasca,Minnesota,"$24,079 ","45,219","18,862"
11,Carroll,Missouri,"$24,073 ","9,216","3,613"
12,Howard,Indiana,"$24,071 ","82,795","34,544"
13,Gregg,Texas,"$24,064 ","122,258","45,292"
14,Stonewall,Texas,"$24,063 ","1,363",578
15,Huerfano,Colorado,"$24,058 ","6,625","3,059"
16,Wood,West Virginia,"$24,042 ","86,779","35,569"
17,Fremont,Wyoming,"$24,037 ","40,517","15,425"
18,Shelby,Ohio,"$24,028 ","49,317","18,311"
19,Kingman,Kansas,"$24,026 ","7,860","3,223"
20,Beadle,South Dakota,"$24,025 ","17,663","7,343"
21,Madison,Ohio,"$24,014 ","43,221","14,611"
22,Berrien,Michigan,"$24,013 ","156,290","60,414"
23,Wayne,Pennsylvania,"$24,005 ","52,212","19,558"
24,Grayson,Texas,"$24,003 ","121,292","46,559"
25,Horry,South Carolina,"$24,002 ","276,688","113,490"
26,Lemhi,Idaho,"$23,998 ","7,853","3,832"
27,Bosque,Texas,"$23,992 ","18,094","7,012"
28,Owen,Kentucky,"$23,991 ","10,807","4,601"
29,Pulaski,Virginia,"$23,987 ","34,768","14,875"
30,Livingston,New York,"$23,978 ","65,087","24,092"
31,Steuben,Indiana,"$23,975 ","34,190","13,514"
32,Mahoning,Ohio,"$23,975 ","237,033","98,201"
33,Volusia,Florida,"$23,973 ","496,268","195,907"
34,Curry,Oregon,"$23,972 ","22,361","10,355"
35,Hansford,Texas,"$23,969 ","5,566","1,983"
36,Custer,Idaho,"$23,965 ","4,331","1,870"
37,Beckham,Oklahoma,"$23,959 ","22,715","7,755"
38,Treasure,Montana,"$23,948 ",711,332
39,Roane,Tennessee,"$23,936 ","53,765","22,117"
40,Lake,Indiana,"$23,918 ","494,250","182,080"
41,Christian,Illinois,"$23,915 ","34,651","14,138"
42,Custer,Montana,"$23,910 ","11,785","4,986"
43,Lapeer,Michigan,"$23,907 ","88,323","32,684"
44,Oconee,South Carolina,"$23,904 ","74,419","30,106"
45,Dickinson,Kansas,"$23,895 ","19,734","7,845"
46,Penobscot,Maine,"$23,895 ","153,649","62,608"
47,Pacific,Washington,"$23,888 ","20,781","9,366"
48,Lucas,Ohio,"$23,885 ","439,511","178,101"
49,Jackson,Mississippi,"$23,879 ","139,906","50,007"
50,Knox,Ohio,"$23,878 ","60,925","22,583"
51,Clay,Nebraska,"$23,876 ","6,469","2,647"
52,Blair,Pennsylvania,"$23,875 ","126,940","51,433"
53,St. Clair,Alabama,"$23,872 ","84,521","31,353"
54,Crockett,Texas,"$23,872 ","3,840","1,375"
55,King and Queen,Virginia,"$23,868 ","7,020","2,863"
56,Gallatin,Illinois,"$23,862 ","5,516","2,369"
57,Elmore,Alabama,"$23,856 ","79,895","28,324"
58,Warren,Kentucky,"$23,853 ","115,438","44,240"
59,Pickaway,Ohio,"$23,851 ","55,949","19,167"
60,Sullivan,Tennessee,"$23,850 ","156,741","66,239"
61,Fulton,New York,"$23,839 ","55,165","22,611"
62,Greeley,Nebraska,"$23,833 ","2,507","1,011"
63,Grant,Oregon,"$23,828 ","7,359","3,319"
64,Columbia,Washington,"$23,814 ","4,027","1,651"
65,Washita,Oklahoma,"$23,811 ","11,631","4,630"
66,Robertson,Tennessee,"$23,809 ","66,623","24,136"
67,Walla Walla,Washington,"$23,809 ","59,092","21,677"
68,Perquimans,North Carolina,"$23,809 ","13,463","5,437"
69,Sawyer,Wisconsin,"$23,809 ","16,542","7,663"
70,Uintah,Utah,"$23,805 ","33,722","11,007"
71,Wichita,Kansas,"$23,799 ","2,231",877
72,Bay,Michigan,"$23,799 ","107,312","44,127"
73,Taylor,Iowa,"$23,793 ","6,256","2,764"
74,Marquette,Michigan,"$23,789 ","67,358","26,436"
75,Mahaska,Iowa,"$23,788 ","22,428","9,073"
76,Blount,Tennessee,"$23,788 ","123,722","48,728"
77,Butte,California,"$23,787 ","220,542","84,816"
78,Moultrie,Illinois,"$23,786 ","14,869","5,676"
79,Dinwiddie,Virginia,"$23,781 ","27,977","9,932"
80,Kankakee,Illinois,"$23,779 ","112,991","41,245"
81,Harvey,Kansas,"$23,775 ","34,722","13,287"
82,Lubbock,Texas,"$23,773 ","282,633","105,277"
83,Phillips,Kansas,"$23,772 ","5,573","2,388"
84,Dixon,Nebraska,"$23,769 ","5,953","2,348"
85,Rooks,Kansas,"$23,768 ","5,189","2,349"
86,Morgan,Alabama,"$23,764 ","119,673","46,192"
87,Transylvania,North Carolina,"$23,757 ","32,894","13,981"
88,Morrison,Minnesota,"$23,753 ","33,118","13,416"
89,Colfax,Nebraska,"$23,751 ","10,495","3,686"
90,Cape Girardeau,Missouri,"$23,751 ","76,322","29,411"
91,Hayes,Nebraska,"$23,749 ","1,142",477
92,Pointe Coupee,Louisiana,"$23,742 ","22,736","8,818"
93,Elk,Pennsylvania,"$23,738 ","31,799","13,478"
94,Pasco,Florida,"$23,736 ","468,194","182,707"
95,Douglas,Illinois,"$23,732 ","19,902","7,509"
96,Pamlico,North Carolina,"$23,724 ","13,115","5,146"
97,Price,Wisconsin,"$23,723 ","14,025","6,776"
98,DeWitt,Texas,"$23,720 ","20,269","6,948"
99,Hancock,Illinois,"$23,714 ","18,949","8,101"
100,Tom Green,Texas,"$23,712 ","111,969","42,286"
101,Adams,Iowa,"$23,707 ","3,973","1,745"
102,Norman,Minnesota,"$23,707 ","6,753","2,737"
103,DeKalb,Illinois,"$23,696 ","104,820","37,844"
104,Tippecanoe,Indiana,"$23,691 ","175,628","66,667"
105,Lincoln,Kansas,"$23,686 ","3,199","1,414"
106,Nance,Nebraska,"$23,684 ","3,707","1,534"
107,Lyon,Iowa,"$23,683 ","11,659","4,425"
108,Columbia,Pennsylvania,"$23,681 ","67,021","26,225"
109,Delaware County,New York,"$23,677 ","47,491","19,844"
110,Cheyenne,Kansas,"$23,677 ","2,708","1,343"
111,Nueces,Texas,"$23,671 ","344,257","123,915"
112,Shasta,California,"$23,670 ","177,966","68,980"
113,Bradford,Pennsylvania,"$23,667 ","62,624","24,213"
114,White,Indiana,"$23,666 ","24,542","9,541"
115,Armstrong,Pennsylvania,"$23,661 ","68,614","28,525"
116,Schuyler,Illinois,"$23,656 ","7,490","3,056"
117,Palo Pinto,Texas,"$23,655 ","28,017","10,491"
118,Cheyenne,Colorado,"$23,647 ","2,189",839
119,Cabell,West Virginia,"$23,647 ","96,604","40,144"
120,Hall,Georgia,"$23,645 ","182,841","61,220"
121,Spencer,Indiana,"$23,641 ","20,960","7,984"
122,Lafayette,Missouri,"$23,637 ","33,188","13,117"
123,Appomattox,Virginia,"$23,636 ","15,054","5,803"
