rank,county,state,pc_income,pop,households
1,Isanti,Minnesota,"$25,482 ","38,078","13,860"
2,Putnam,Ohio,"$25,481 ","34,339","13,022"
3,Marion,Iowa,"$25,477 ","33,318","12,691"
4,Weld,Colorado,"$25,468 ","258,780","90,465"
5,Jersey,Illinois,"$25,467 ","22,850","8,752"
6,Fillmore,Nebraska,"$25,460 ","5,818","2,444"
7,Becker,Minnesota,"$25,455 ","32,800","13,476"
8,Lincoln,New Mexico,"$25,449 ","20,359","8,685"
9,Ford,Illinois,"$25,448 ","13,991","5,651"
10,Cass,Iowa,"$25,448 ","13,793","6,081"
11,Ohio County,Indiana,"$25,443 ","6,075","2,422"
12,Shackelford,Texas,"$25,436 ","3,362","1,445"
13,Carroll,Iowa,"$25,430 ","20,732","8,626"
14,Wallace,Kansas,"$25,429 ","1,568",611
15,McIntosh,North Dakota,"$25,427 ","2,791","1,308"
16,Pawnee,Nebraska,"$25,426 ","2,759","1,314"
17,Lee,Illinois,"$25,409 ","35,535","13,504"
18,Turner,South Dakota,"$25,406 ","8,344","3,461"
19,Genesee,New York,"$25,403 ","59,872","23,884"
20,Clark,Kansas,"$25,385 ","2,188",932
21,Blue Earth,Minnesota,"$25,380 ","64,504","24,476"
22,Wicomico,Maryland,"$25,378 ","99,683","36,405"
23,Bayfield,Wisconsin,"$25,377 ","15,071","6,964"
24,Meade,South Dakota,"$25,375 ","25,914","10,083"
25,White,Illinois,"$25,375 ","14,630","6,240"
26,Ottawa,Michigan,"$25,371 ","267,017","94,666"
27,Steuben,New York,"$25,371 ","98,951","41,503"
28,Rice,Minnesota,"$25,370 ","64,585","22,299"
29,Miami,Ohio,"$25,369 ","102,867","41,239"
30,Decatur,Tennessee,"$25,368 ","11,695","5,066"
31,Bandera,Texas,"$25,364 ","20,533","8,405"
32,Washington County,Tennessee,"$25,355 ","123,891","51,771"
33,McPherson,Nebraska,"$25,339 ",382,169
34,Portage,Ohio,"$25,332 ","163,387","60,992"
35,Chemung,New York,"$25,329 ","88,876","35,622"
36,Logan,Kansas,"$25,328 ","2,775","1,282"
37,Wayne,New York,"$25,327 ","93,224","36,399"
38,Auglaize,Ohio,"$25,323 ","45,906","18,241"
39,Harlan,Nebraska,"$25,322 ","3,445","1,573"
40,Gilliam,Oregon,"$25,320 ","1,915",883
41,Poweshiek,Iowa,"$25,318 ","18,804","7,488"
