rank,county,state,pc_income,pop,households
1,Floyd,Kentucky,"$17,716 ","39,448","15,422"
2,Wayne,Tennessee,"$17,706 ","16,996","6,093"
3,Washington County,Missouri,"$17,703 ","25,135","9,199"
4,Baraga,Michigan,"$17,701 ","8,787","3,234"
5,Cumberland,Kentucky,"$17,697 ","6,842","2,604"
6,Orangeburg,South Carolina,"$17,687 ","91,836","34,180"
7,Power,Idaho,"$17,684 ","7,756","2,568"
8,Jeff Davis,Georgia,"$17,684 ","15,042","5,509"
9,Dawson,Texas,"$17,677 ","13,771","4,414"
10,Clarendon,South Carolina,"$17,665 ","34,652","12,690"
11,Santa Cruz,Arizona,"$17,664 ","47,122","15,078"
12,Arthur,Nebraska,"$17,656 ",507,177
13,Robertson,Kentucky,"$17,641 ","2,254",884
14,Seminole,Georgia,"$17,641 ","8,831","3,317"
15,Lunenburg,Virginia,"$17,630 ","12,759","4,572"
16,Franklin,Idaho,"$17,620 ","12,801","4,150"
17,Gadsden,Florida,"$17,615 ","46,860","16,662"
18,McCurtain,Oklahoma,"$17,615 ","33,143","13,078"
19,Turner,Georgia,"$17,609 ","8,637","3,166"
20,Randolph,Missouri,"$17,587 ","25,253","8,925"
21,Early,Georgia,"$17,579 ","10,787","4,030"
22,Jenkins,Georgia,"$17,565 ","8,642","3,354"
23,Adams,Mississippi,"$17,544 ","32,308","12,087"
24,Deaf Smith,Texas,"$17,532 ","19,307","6,191"
25,Jackson,Florida,"$17,525 ","49,326","16,244"
26,Dimmit,Texas,"$17,516 ","10,270","3,542"
27,Washington County,Georgia,"$17,515 ","20,982","7,119"
28,Claiborne,Louisiana,"$17,512 ","16,964","5,726"
29,McDonald,Missouri,"$17,505 ","22,892","8,221"
30,Buchanan,Virginia,"$17,489 ","23,920","9,485"
31,Uvalde,Texas,"$17,479 ","26,578","8,619"
32,Marion,Georgia,"$17,479 ","8,673","3,000"
33,Roosevelt,New Mexico,"$17,477 ","19,984","7,043"
34,Cocke,Tennessee,"$17,476 ","35,596","14,917"
35,Blaine,Montana,"$17,437 ","6,550","2,237"
36,Bibb,Alabama,"$17,427 ","22,754","7,091"
37,Union,Tennessee,"$17,426 ","19,177","7,406"
38,Lincoln,Kentucky,"$17,420 ","24,602","9,692"
39,Summers,West Virginia,"$17,416 ","13,795","5,350"
40,Howell,Missouri,"$17,416 ","40,458","15,796"
41,Butler,Alabama,"$17,403 ","20,624","8,235"
42,Stone,Arkansas,"$17,403 ","12,517","5,135"
43,Washington County,Florida,"$17,385 ","24,702","8,533"
44,Hempstead,Arkansas,"$17,376 ","22,509","8,296"
45,Cochran,Texas,"$17,371 ","3,068","1,039"
46,Adair,Kentucky,"$17,371 ","18,696","7,241"
47,Hickory,Missouri,"$17,361 ","9,499","4,219"
48,Jasper,South Carolina,"$17,350 ","25,408","8,563"
49,Roane,West Virginia,"$17,341 ","14,807","5,975"
50,St. Clair,Missouri,"$17,337 ","9,649","4,139"
51,Wheatland,Montana,"$17,336 ","2,138",817
52,Doddridge,West Virginia,"$17,334 ","8,213","2,778"
53,Madison,Missouri,"$17,316 ","12,350","4,603"
54,Conejos,Colorado,"$17,316 ","8,256","3,099"
55,Hart,Kentucky,"$17,273 ","18,345","7,115"
56,Wayne,Georgia,"$17,270 ","30,187","10,171"
57,Lanier,Georgia,"$17,264 ","10,250","3,725"
58,Dallas,Alabama,"$17,245 ","43,091","16,173"
59,Covington,Mississippi,"$17,241 ","19,520","7,036"
60,Richmond,North Carolina,"$17,236 ","46,534","18,254"
61,Wilkinson,Georgia,"$17,228 ","9,520","3,348"
62,Ozark,Missouri,"$17,215 ","9,653","4,063"
63,Perry,Tennessee,"$17,214 ","7,861","3,187"
64,Lafayette,Arkansas,"$17,212 ","7,501","2,722"
65,Prince Edward,Virginia,"$17,208 ","23,166","7,453"
66,Crowley,Colorado,"$17,187 ","5,629","1,173"
67,Perry,Mississippi,"$17,183 ","12,174","4,483"
68,Jerome,Idaho,"$17,182 ","22,391","7,676"
69,Holmes,Ohio,"$17,177 ","42,841","12,467"
70,Tensas,Louisiana,"$17,175 ","5,105","2,049"
71,Metcalfe,Kentucky,"$17,171 ","10,043","3,919"
72,Graham,Arizona,"$17,168 ","37,168","11,031"
73,Buckingham,Virginia,"$17,167 ","17,126","5,817"
74,Long,Georgia,"$17,158 ","15,285","4,841"
75,Pickens,Alabama,"$17,153 ","19,516","7,926"
76,Choctaw,Mississippi,"$17,145 ","8,440","3,378"
77,Chesterfield,South Carolina,"$17,140 ","46,452","17,622"
78,Duplin,North Carolina,"$17,122 ","59,169","22,052"
79,Scott,Tennessee,"$17,121 ","22,154","8,206"
80,Wilkes,Georgia,"$17,120 ","10,265","4,083"
81,Russell,Kentucky,"$17,107 ","17,636","7,270"
82,Thurston,Nebraska,"$17,106 ","6,915","2,050"
83,Charlton,Georgia,"$17,102 ","13,080","3,727"
84,Bertie,North Carolina,"$17,096 ","20,879","7,629"
85,Rowan,Kentucky,"$17,094 ","23,425","8,305"
86,Harrisonburg City,Virginia,"$17,080 ","49,926","15,701"
87,Taylor,Georgia,"$17,078 ","8,595","3,681"
88,Emanuel,Georgia,"$17,064 ","22,669","8,026"
89,Drew,Arkansas,"$17,057 ","18,686","7,496"
90,Taylor,Florida,"$17,045 ","22,660","7,672"
