rank,county,state,pc_income,pop,households
1,Butte,South Dakota,"$21,744 ","10,197","4,015"
2,Assumption,Louisiana,"$21,743 ","23,268","8,571"
3,Crawford,Pennsylvania,"$21,741 ","88,173","34,831"
4,Gray,Texas,"$21,738 ","22,777","8,388"
5,Chouteau,Montana,"$21,737 ","5,827","2,228"
6,Stone,Missouri,"$21,733 ","31,817","13,320"
7,Van Buren,Michigan,"$21,732 ","75,897","28,374"
8,West Feliciana,Louisiana,"$21,720 ","15,522","4,007"
9,Box Elder,Utah,"$21,720 ","50,160","16,207"
10,Brazos,Texas,"$21,720 ","197,642","70,239"
11,Greenbrier,West Virginia,"$21,720 ","35,588","15,409"
12,Union,Illinois,"$21,719 ","17,722","6,852"
13,Lincoln,Montana,"$21,719 ","19,581","8,872"
14,Stanton,Kansas,"$21,712 ","2,210",775
15,Robertson,Texas,"$21,709 ","16,574","5,851"
16,Grant,Wisconsin,"$21,705 ","51,080","19,420"
17,Stewart,Tennessee,"$21,701 ","13,313","5,292"
18,Cass,Indiana,"$21,700 ","38,802","14,827"
19,Catoosa,Georgia,"$21,690 ","64,606","23,941"
20,Dade,Georgia,"$21,690 ","16,580","6,325"
21,Erath,Texas,"$21,670 ","38,744","14,383"
22,Stanislaus,California,"$21,663 ","518,321","166,883"
23,McLennan,Texas,"$21,660 ","237,316","84,862"
24,Floyd,Texas,"$21,655 ","6,371","2,457"
25,Wetzel,West Virginia,"$21,653 ","16,435","6,903"
26,Bradley,Tennessee,"$21,649 ","100,070","37,603"
27,Pulaski,Indiana,"$21,641 ","13,253","5,058"
28,Rusk,Texas,"$21,640 ","53,508","17,772"
29,Lynn,Texas,"$21,639 ","5,841","2,179"
30,Beaufort,North Carolina,"$21,636 ","47,575","19,266"
31,Finney,Kansas,"$21,629 ","36,920","12,515"
32,Juniata,Pennsylvania,"$21,628 ","24,737","9,248"
33,Boone,West Virginia,"$21,627 ","24,517","9,559"
34,Beltrami,Minnesota,"$21,622 ","45,021","16,781"
35,Lake and Peninsula,Alaska,"$21,616 ","1,454",508
36,Hopkins,Texas,"$21,606 ","35,295","13,303"
37,DeKalb,Tennessee,"$21,606 ","18,875","7,037"
38,Appanoose,Iowa,"$21,599 ","12,808","5,534"
39,Howard,Missouri,"$21,598 ","10,184","3,825"
40,Avery,North Carolina,"$21,598 ","17,756","7,122"
41,Saline,Illinois,"$21,596 ","24,950","10,174"
42,Jefferson,Oregon,"$21,593 ","21,461","7,882"
43,Randolph,Indiana,"$21,592 ","25,975","10,429"
44,Newberry,South Carolina,"$21,591 ","37,514","14,254"
45,Ontonagon,Michigan,"$21,585 ","6,584","3,269"
46,Pittsylvania,Virginia,"$21,583 ","63,077","26,092"
47,Colusa,California,"$21,579 ","21,366","6,853"
48,Franklin,New York,"$21,575 ","51,676","19,238"
49,Columbiana,Ohio,"$21,575 ","107,078","42,095"
50,Gaines,Texas,"$21,572 ","18,019","5,437"
51,Colbert,Alabama,"$21,572 ","54,456","22,260"
52,Aroostook,Maine,"$21,566 ","71,230","30,597"
53,Wayne,North Carolina,"$21,557 ","123,382","47,330"
54,Adams,Idaho,"$21,555 ","3,937","1,707"
55,Clinton,Indiana,"$21,554 ","33,086","11,745"
56,Johnson,Missouri,"$21,547 ","53,517","20,092"
57,Dickson,Tennessee,"$21,547 ","49,926","18,647"
58,DeSoto,Louisiana,"$21,547 ","26,813","10,270"
59,Cumberland,Virginia,"$21,540 ","9,943","4,049"
60,Lake,California,"$21,537 ","64,260","26,505"
61,Sedgwick,Colorado,"$21,536 ","2,376",943
62,Essex,Virginia,"$21,532 ","11,180","4,286"
63,Burleson,Texas,"$21,529 ","17,201","6,258"
64,Madison,Indiana,"$21,527 ","131,027","50,637"
65,Jefferson,Indiana,"$21,524 ","32,449","12,668"
66,Fayette,Illinois,"$21,523 ","22,088","8,124"
67,Lake,Montana,"$21,521 ","28,905","11,829"
68,Putnam,Indiana,"$21,520 ","37,799","12,414"
69,Cowley,Kansas,"$21,519 ","36,232","13,867"
70,Somerset,Maine,"$21,513 ","51,942","21,692"
71,Linn,Oregon,"$21,500 ","117,648","44,722"
72,Carlisle,Kentucky,"$21,500 ","5,064","2,034"
73,Loup,Nebraska,"$21,499 ",581,240
