rank,county,state,pc_income,pop,households
1,Lebanon,Pennsylvania,"$27,074 ","134,411","52,023"
2,Putnam,Illinois,"$27,074 ","5,927","2,471"
3,Skagit,Washington,"$27,065 ","117,641","45,293"
4,Green,Wisconsin,"$27,060 ","36,901","14,640"
5,Dearborn,Indiana,"$27,058 ","49,975","18,556"
6,Washington County,Oklahoma,"$27,053 ","51,329","21,332"
7,Effingham,Illinois,"$27,051 ","34,274","13,544"
8,Loudon,Tennessee,"$27,045 ","49,188","19,543"
9,Oneida,Wisconsin,"$27,041 ","35,868","15,797"
10,Shelby,Kentucky,"$27,039 ","42,911","15,469"
11,Buchanan,Iowa,"$27,038 ","20,954","8,187"
12,Fayette,Texas,"$27,032 ","24,662","9,999"
13,Fairfield,Ohio,"$27,031 ","147,110","54,309"
14,Grand Forks,North Dakota,"$27,026 ","67,357","27,465"
15,Leavenworth,Kansas,"$27,017 ","77,002","26,358"
16,Lake,South Dakota,"$27,015 ","11,564","4,655"
17,Brevard,Florida,"$27,009 ","545,667","220,277"
18,Pennington,South Dakota,"$27,000 ","102,752","40,723"
19,Greene,Virginia,"$26,998 ","18,577","6,897"
20,Mariposa,California,"$26,988 ","18,061","7,238"
21,Young,Texas,"$26,979 ","18,395","7,186"
22,Thayer,Nebraska,"$26,965 ","5,187","2,343"
23,Jeff Davis,Texas,"$26,958 ","2,311",989
24,Louisa,Virginia,"$26,956 ","33,384","13,046"
25,Winnebago,Wisconsin,"$26,955 ","167,860","68,140"
26,Garfield,Washington,"$26,954 ","2,249",970
27,Aransas,Texas,"$26,953 ","23,627","9,834"
28,Charlevoix,Michigan,"$26,947 ","26,030","10,667"
29,Campbell,Kentucky,"$26,945 ","90,606","35,203"
30,Manassas Park City,Virginia,"$26,944 ","15,125","4,435"
31,King William,Virginia,"$26,940 ","15,959","5,998"
32,Fremont,Iowa,"$26,930 ","7,291","2,965"
33,Kittson,Minnesota,"$26,927 ","4,528","1,912"
34,Sandoval,New Mexico,"$26,924 ","133,503","47,164"
35,Calhoun,Illinois,"$26,924 ","5,062","2,061"
36,Cleveland,Oklahoma,"$26,920 ","261,047","96,701"
37,Mitchell,Kansas,"$26,911 ","6,368","2,804"
38,Sussex,Delaware,"$26,908 ","200,632","76,444"
39,Jefferson,Louisiana,"$26,908 ","433,477","167,251"
40,Jefferson,Alabama,"$26,906 ","658,552","259,634"
41,Thomas,Kansas,"$26,903 ","7,902","3,120"
42,Rankin,Mississippi,"$26,897 ","143,665","53,223"
43,Rawlins,Kansas,"$26,897 ","2,545","1,224"
44,Boone,Missouri,"$26,895 ","165,776","65,649"
45,Lexington,South Carolina,"$26,886 ","266,575","103,742"
46,Kandiyohi,Minnesota,"$26,880 ","42,265","17,120"
47,Hays,Texas,"$26,873 ","164,144","56,459"
48,Santa Rosa,Florida,"$26,861 ","155,579","57,368"
49,Phelps,Nebraska,"$26,856 ","9,186","3,808"
50,Stark,Illinois,"$26,843 ","5,942","2,416"
51,Sheridan,Kansas,"$26,841 ","2,553","1,099"
52,Brunswick,North Carolina,"$26,839 ","110,324","47,600"
53,Marshall,Minnesota,"$26,834 ","9,454","4,080"
54,Carson,Texas,"$26,827 ","6,158","2,337"
55,McLeod,Minnesota,"$26,824 ","36,321","14,716"
56,Armstrong,Texas,"$26,823 ","1,773",647
