rank,county,state,pc_income,pop,households
1,Sully,South Dakota,"$30,218 ","1,420",606
2,Sarpy,Nebraska,"$30,189 ","162,728","59,606"
3,Cook,Illinois,"$30,183 ","5,212,372","1,933,335"
4,Charleston,South Carolina,"$30,158 ","358,736","143,717"
5,La Plata,Colorado,"$30,151 ","52,039","20,947"
6,Chambers,Texas,"$30,140 ","35,570","12,147"
7,Gillespie,Texas,"$30,117 ","25,003","10,655"
8,Thomas,Nebraska,"$30,116 ",734,323
9,Frederick,Virginia,"$30,112 ","79,453","29,172"
10,Wheeler,Texas,"$30,097 ","5,526","2,319"
11,Kane,Illinois,"$30,082 ","518,380","170,358"
12,Hood,Texas,"$30,046 ","51,756","20,758"
13,Greene,Ohio,"$30,040 ","162,588","62,836"
14,Saunders,Nebraska,"$30,039 ","20,800","8,142"
15,Goliad,Texas,"$30,031 ","7,281","3,028"
16,Rensselaer,New York,"$29,987 ","159,565","64,242"
17,Sangamon,Illinois,"$29,974 ","198,269","82,807"
18,San Luis Obispo,California,"$29,954 ","272,094","102,154"
19,Sargent,North Dakota,"$29,950 ","3,859","1,741"
20,Linn,Iowa,"$29,943 ","213,425","86,052"
21,Goodhue,Minnesota,"$29,932 ","46,259","18,711"
22,Warrick,Indiana,"$29,927 ","60,163","22,454"
23,Chesapeake City,Virginia,"$29,905 ","225,597","79,421"
24,Ontario,New York,"$29,904 ","108,311","43,794"
25,Natrona,Wyoming,"$29,877 ","77,343","31,116"
26,King,Texas,"$29,836 ",321,126
27,Hendricks,Indiana,"$29,830 ","148,623","52,946"
28,Plumas,California,"$29,806 ","19,586","8,997"
29,Lander,Nevada,"$29,800 ","5,844","2,010"
30,Archuleta,Colorado,"$29,793 ","12,109","4,881"
31,Washington County,Vermont,"$29,761 ","59,427","24,661"
32,Thurston,Washington,"$29,744 ","256,080","100,801"
33,Emmet,Michigan,"$29,718 ","32,858","13,545"
34,Hamilton,Ohio,"$29,681 ","802,481","327,914"
35,New Hanover,North Carolina,"$29,679 ","206,403","86,010"
36,Jo Daviess,Illinois,"$29,675 ","22,602","9,616"
37,Cass,Nebraska,"$29,638 ","25,222","9,701"
38,Wright,Minnesota,"$29,623 ","126,142","44,983"
39,Cherokee,Georgia,"$29,615 ","218,277","76,144"
