rank,county,state,pc_income,pop,households
40,Jefferson,West Virginia,"$29,605 ","54,131","19,889"
41,Montour,Pennsylvania,"$29,600 ","18,379","7,233"
42,Johnson,Iowa,"$29,592 ","134,034","54,005"
43,Cameron,Louisiana,"$29,559 ","6,789","2,529"
44,Hemphill,Texas,"$29,544 ","3,959","1,440"
45,Midland,Michigan,"$29,536 ","83,842","33,717"
46,Matanuska-Susitna,Alaska,"$29,534 ","91,519","31,123"
47,Cecil,Maryland,"$29,518 ","101,435","36,394"
48,Maui,Hawaii,"$29,517 ","156,633","52,623"
49,Ramsey,Minnesota,"$29,484 ","515,732","205,395"
50,Hampshire,Massachusetts,"$29,460 ","159,267","58,828"
51,Southeast Fairbanks Census Area,Alaska,"$29,437 ","7,047","2,326"
52,Clay,Missouri,"$29,406 ","225,116","86,934"
53,Morton,North Dakota,"$29,389 ","27,874","11,416"
54,Strafford,New Hampshire,"$29,369 ","123,836","46,968"
55,Durham,North Carolina,"$29,347 ","276,494","111,276"
56,Calaveras,California,"$29,329 ","45,147","18,702"
57,Washington County,Nebraska,"$29,328 ","20,234","7,647"
58,Wells,North Dakota,"$29,301 ","4,220","1,949"
59,Berkshire,Massachusetts,"$29,294 ","130,545","55,301"
60,Woodford,Kentucky,"$29,277 ","24,988","9,698"
61,Northampton,Pennsylvania,"$29,266 ","298,439","112,189"
62,Pinellas,Florida,"$29,262 ","920,015","401,708"
63,Franklin,Massachusetts,"$29,259 ","71,408","30,534"
64,Fayette,Kentucky,"$29,251 ","300,843","123,142"
65,Boone,Kentucky,"$29,235 ","121,214","43,255"
66,Dauphin,Pennsylvania,"$29,234 ","269,035","108,831"
67,Sheridan,North Dakota,"$29,219 ","1,313",614
68,Bennington,Vermont,"$29,196 ","36,871","15,442"
69,Posey,Indiana,"$29,187 ","25,713","10,050"
70,Douglas,Nebraska,"$29,180 ","524,697","204,226"
71,Suffolk City,Virginia,"$29,135 ","84,842","30,492"
72,Lake,Ohio,"$29,132 ","229,850","94,048"
73,Pope,Minnesota,"$29,128 ","10,957","4,758"
74,Kossuth,Iowa,"$29,127 ","15,437","6,728"
75,York,Maine,"$29,125 ","198,220","81,293"
76,Randall,Texas,"$29,124 ","123,062","48,080"
77,Dodge,Minnesota,"$29,107 ","20,159","7,326"
78,Warren,Iowa,"$29,088 ","46,631","17,378"
79,Brazoria,Texas,"$29,081 ","319,493","107,717"
80,Walsh,North Dakota,"$29,072 ","11,102","4,948"
81,Clay,Iowa,"$29,060 ","16,604","7,148"
82,Lipscomb,Texas,"$29,017 ","3,379","1,115"
83,Scott,Iowa,"$28,948 ","167,080","67,049"
84,Gallatin,Montana,"$28,939 ","91,499","36,973"
85,Solano,California,"$28,929 ","417,258","141,464"
86,Nassau,Florida,"$28,926 ","74,163","28,044"
87,Moore,North Carolina,"$28,913 ","89,425","36,997"
88,Calumet,Wisconsin,"$28,907 ","49,288","18,381"
89,Kidder,North Dakota,"$28,904 ","2,429","1,146"
90,Lafayette,Louisiana,"$28,901 ","224,719","86,504"
91,Union,North Carolina,"$28,894 ","205,426","68,211"
92,Warren,Virginia,"$28,889 ","37,836","14,387"
93,Stillwater,Montana,"$28,868 ","9,173","3,757"
94,El Paso,Colorado,"$28,867 ","634,423","237,039"
95,Windham,Vermont,"$28,867 ","44,216","19,417"
96,Union,Ohio,"$28,852 ","52,683","18,216"
97,Bristol,Massachusetts,"$28,837 ","549,870","210,037"
98,Sagadahoc,Maine,"$28,829 ","35,194","15,022"
99,DeKalb,Georgia,"$28,810 ","700,308","264,496"
100,Hoonah-Angoon Census Area,Alaska,"$28,806 ","2,141",930
101,Salem,New Jersey,"$28,772 ","65,825","25,003"
102,Weston,Wyoming,"$28,764 ","7,153","2,975"
103,Clermont,Ohio,"$28,761 ","198,417","73,728"
104,Manassas City,Virginia,"$28,752 ","39,317","12,072"
105,Onondaga,New York,"$28,746 ","467,202","184,855"
106,Stevens,Minnesota,"$28,746 ","9,723","3,700"
107,Monroe,New York,"$28,732 ","746,548","297,040"
108,Bremer,Iowa,"$28,727 ","24,387","9,258"
109,Grundy,Illinois,"$28,725 ","50,064","18,082"
110,Addison,Vermont,"$28,722 ","36,811","14,164"
111,Bath,Virginia,"$28,704 ","4,686","2,101"
112,Bedford County,Virginia,"$28,697 ","69,175","27,233"
113,Seminole,Florida,"$28,675 ","427,184","147,529"
114,Gloucester,Virginia,"$28,673 ","36,868","13,889"
115,Washoe,Nevada,"$28,670 ","425,495","163,198"
116,Porter,Indiana,"$28,669 ","165,168","61,502"
117,Okaloosa,Florida,"$28,600 ","185,852","73,253"
118,Benton,Washington,"$28,583 ","178,992","65,675"
119,Sullivan,New Hampshire,"$28,582 ","43,398","17,808"
120,Johnson,Indiana,"$28,575 ","141,796","52,239"
121,Northumberland,Virginia,"$28,568 ","12,334","5,691"
122,Fallon,Montana,"$28,563 ","3,085","1,199"
123,Kodiak Island,Alaska,"$28,562 ","13,850","4,501"
124,Ward,North Dakota,"$28,557 ","64,008","25,173"
125,Powder River,Montana,"$28,528 ","1,669",720
126,Laramie,Wyoming,"$28,505 ","93,073","36,859"
127,Dundy,Nebraska,"$28,502 ","1,994",893
128,Wrangell,Alaska,"$28,474 ","2,371","1,149"
129,Davidson,Tennessee,"$28,467 ","638,395","256,745"
130,Clinton,Michigan,"$28,449 ","75,802","28,534"
131,Skamania,Washington,"$28,449 ","11,126","4,452"
132,Peoria,Illinois,"$28,438 ","187,117","75,892"
133,Eddy,New Mexico,"$28,438 ","54,284","19,866"
134,Washington County,Pennsylvania,"$28,433 ","208,047","84,098"
135,Miami,Kansas,"$28,412 ","32,682","12,334"
136,Lewis and Clark,Montana,"$28,400 ","64,143","26,555"
137,Seward,Nebraska,"$28,359 ","16,824","6,165"
138,Elko,Nevada,"$28,358 ","50,023","17,599"
139,Custer,South Dakota,"$28,356 ","8,306","3,731"
140,McHenry,North Dakota,"$28,331 ","5,593","2,573"
141,Menard,Illinois,"$28,330 ","12,687","5,071"
142,Douglas,South Dakota,"$28,323 ","3,000","1,258"
143,Schenectady,New York,"$28,319 ","154,821","58,059"
144,Washakie,Wyoming,"$28,308 ","8,468","3,468"
145,Cheyenne,Nebraska,"$28,296 ","10,022","4,405"
146,Franklin,Ohio,"$28,283 ","1,181,824","468,295"
147,Wabasha,Minnesota,"$28,282 ","21,549","8,890"
148,Columbia,Wisconsin,"$28,273 ","56,647","22,735"
149,Tarrant,Texas,"$28,266 ","1,848,423","659,736"
150,Jefferson,Washington,"$28,266 ","29,882","13,801"
151,Hamilton,New York,"$28,265 ","4,813","1,854"
152,Chase,Nebraska,"$28,241 ","3,984","1,697"
153,Pierce,Washington,"$28,223 ","805,434","300,623"
154,Crook,Wyoming,"$28,212 ","7,110","3,010"
155,York,Nebraska,"$28,207 ","13,762","5,501"
156,Broward,Florida,"$28,205 ","1,784,889","663,458"
157,Fayette,Tennessee,"$28,201 ","38,502","14,535"
158,Franklin,Texas,"$28,189 ","10,611","4,304"
159,Outagamie,Wisconsin,"$28,186 ","178,013","69,572"
160,Ascension,Louisiana,"$28,178 ","109,920","38,287"
161,Kanawha,West Virginia,"$28,174 ","192,311","82,756"
162,Graham,Kansas,"$28,146 ","2,604","1,192"
163,Knox,Tennessee,"$28,136 ","436,983","181,100"
164,Somervell,Texas,"$28,134 ","8,537","3,193"
165,York,Pennsylvania,"$28,132 ","436,339","167,592"
166,Grant,North Dakota,"$28,129 ","2,372","1,113"
167,Hancock,Indiana,"$28,111 ","70,466","26,071"
168,O'Brien,Iowa,"$28,086 ","14,249","6,098"
169,Ramsey,North Dakota,"$28,081 ","11,473","4,826"
170,Johnson,Wyoming,"$28,072 ","8,595","3,679"
171,Sherburne,Minnesota,"$28,071 ","89,120","29,948"
172,Lincoln,Maine,"$28,070 ","34,297","14,817"
173,Iowa County,Iowa,"$28,068 ","16,323","6,745"
174,Eureka,Nevada,"$28,056 ","1,804",733
175,Irion,Texas,"$28,055 ","1,603",654
176,Westmoreland,Pennsylvania,"$28,051 ","364,090","152,109"
177,Mono,California,"$28,046 ","14,217","5,268"
178,Tazewell,Illinois,"$28,037 ","135,747","54,428"
179,Guthrie,Iowa,"$28,030 ","10,843","4,641"
180,Traverse,Minnesota,"$28,030 ","3,507","1,510"
181,Baylor,Texas,"$28,021 ","3,678","1,798"
182,Lac qui Parle,Minnesota,"$28,014 ","7,184","3,074"
183,Ottawa,Ohio,"$27,979 ","41,372","17,614"
184,Erie,New York,"$27,978 ","919,230","380,152"
185,Putnam,West Virginia,"$27,957 ","56,033","21,391"
186,Sheridan,Wyoming,"$27,948 ","29,376","12,381"
187,Plymouth,Iowa,"$27,942 ","24,923","9,867"
188,Perkins,Nebraska,"$27,931 ","2,949","1,262"
189,Jefferson,Kentucky,"$27,925 ","746,580","305,832"
190,Lehigh,Pennsylvania,"$27,923 ","352,068","133,289"
191,Chisago,Minnesota,"$27,914 ","53,691","19,569"
192,Hettinger,North Dakota,"$27,910 ","2,539","1,097"
193,Emmet,Iowa,"$27,908 ","10,141","4,119"
194,Harris,Texas,"$27,899 ","4,182,285","1,434,694"
195,Windham,Connecticut,"$27,893 ","118,115","44,018"
196,Logan,North Dakota,"$27,887 ","1,966",827
197,Lake,Minnesota,"$27,883 ","10,825","4,982"
198,Clark,South Dakota,"$27,878 ","3,635","1,431"
199,Cheshire,New Hampshire,"$27,874 ","76,896","30,458"
200,Knox,Maine,"$27,865 ","39,694","16,941"
201,Wilson,Tennessee,"$27,864 ","116,948","42,800"
202,Greene,Georgia,"$27,828 ","16,091","6,353"
203,Park,Wyoming,"$27,824 ","28,557","11,801"
204,Summit,Ohio,"$27,818 ","541,592","220,375"
205,Pembina,North Dakota,"$27,817 ","7,327","3,328"
206,Scott,Kentucky,"$27,802 ","48,149","17,989"
207,Clinton,Illinois,"$27,802 ","37,891","14,051"
208,Archer,Texas,"$27,800 ","8,853","3,342"
209,Hancock,Maine,"$27,797 ","54,557","24,355"
210,Kearney,Nebraska,"$27,796 ","6,518","2,621"
211,Brewster,Texas,"$27,796 ","9,244","4,152"
212,Sumner,Tennessee,"$27,795 ","163,724","60,835"
213,Le Sueur,Minnesota,"$27,793 ","27,758","10,997"
214,Brown,Wisconsin,"$27,787 ","250,597","98,962"
215,Yellowstone,Montana,"$27,761 ","150,156","61,023"
216,Spink,South Dakota,"$27,757 ","6,522","2,624"
217,Los Angeles,California,"$27,749 ","9,893,481","3,230,383"
218,Yolo,California,"$27,730 ","202,288","70,347"
219,Sutton,Texas,"$27,721 ","4,058","1,445"
220,Douglas,Minnesota,"$27,716 ","36,264","15,757"
221,Richland,North Dakota,"$27,713 ","16,258","6,614"
222,Kenton,Kentucky,"$27,704 ","160,828","61,800"
223,Pike,Pennsylvania,"$27,691 ","57,179","21,581"
224,Emmons,North Dakota,"$27,690 ","3,521","1,634"
225,Madison,Iowa,"$27,685 ","15,606","6,092"
226,Moody,South Dakota,"$27,682 ","6,460","2,686"
227,Clark,Washington,"$27,681 ","432,549","158,855"
228,Tulsa,Oklahoma,"$27,676 ","609,610","241,915"
229,Butler,Nebraska,"$27,673 ","8,334","3,482"
230,Grand Traverse,Michigan,"$27,660 ","88,182","34,655"
231,Orange,Virginia,"$27,655 ","33,934","12,621"
232,Gunnison,Colorado,"$27,654 ","15,421","6,293"
233,Polk,Nebraska,"$27,639 ","5,342","2,232"
234,Coffey,Kansas,"$27,627 ","8,516","3,501"
235,Colonial Heights City,Virginia,"$27,610 ","17,481","7,017"
236,Marathon,Wisconsin,"$27,607 ","134,497","53,079"
237,Carbon,Montana,"$27,599 ","10,126","4,322"
238,Jefferson,Iowa,"$27,593 ","16,800","6,919"
239,Rio Blanco,Colorado,"$27,586 ","6,770","2,638"
240,Bryan,Georgia,"$27,556 ","31,410","11,230"
241,Canadian,Oklahoma,"$27,552 ","119,546","41,876"
242,Deuel,South Dakota,"$27,525 ","4,362","1,789"
243,Deschutes,Oregon,"$27,524 ","160,565","64,568"
244,East Baton Rouge,Louisiana,"$27,505 ","441,901","167,422"
245,Sumter,Florida,"$27,504 ","98,409","43,507"
246,Mason,Texas,"$27,504 ","4,034","1,699"
247,Kimble,Texas,"$27,502 ","4,566","1,895"
248,Lawrence,South Dakota,"$27,498 ","24,305","10,597"
249,Carteret,North Carolina,"$27,496 ","67,198","29,158"
250,Wibaux,Montana,"$27,492 ",928,409
251,Kingsbury,South Dakota,"$27,485 ","5,142","2,311"
252,Grant,Oklahoma,"$27,469 ","4,522","1,951"
253,Cass,Missouri,"$27,463 ","99,875","37,307"
254,Pierce,Wisconsin,"$27,462 ","40,870","15,069"
255,McPherson,Kansas,"$27,462 ","29,297","11,540"
256,Ada,Idaho,"$27,452 ","401,673","151,600"
257,Murray,Minnesota,"$27,450 ","8,639","3,820"
258,Inyo,California,"$27,441 ","18,482","7,873"
259,Andrews,Texas,"$27,429 ","15,554","5,217"
260,Bossier,Louisiana,"$27,429 ","119,947","45,776"
261,Cuyahoga,Ohio,"$27,423 ","1,272,533","534,476"
262,Tompkins,New York,"$27,418 ","102,270","38,409"
263,Pulaski,Arkansas,"$27,414 ","386,106","153,720"
264,Madison,Illinois,"$27,407 ","268,373","107,238"
265,Franklin,Vermont,"$27,398 ","48,019","18,616"
266,Atlantic,New Jersey,"$27,391 ","274,960","101,091"
267,Warren,Indiana,"$27,390 ","8,464","3,283"
268,Culpeper,Virginia,"$27,379 ","47,330","16,039"
269,McMullen,Texas,"$27,375 ",616,254
270,Rogers,Oklahoma,"$27,365 ","87,730","32,693"
271,Jackson,Minnesota,"$27,361 ","10,263","4,469"
272,Bartholomew,Indiana,"$27,359 ","77,930","30,041"
273,Stutsman,North Dakota,"$27,351 ","21,046","8,873"
274,Lee,Florida,"$27,348 ","633,968","241,531"
275,Amador,California,"$27,347 ","37,422","14,262"
276,Dawson,Georgia,"$27,330 ","22,387","8,506"
277,Butler,Kansas,"$27,329 ","65,786","24,270"
278,Roger Mills,Oklahoma,"$27,326 ","3,713","1,305"
279,Eddy,North Dakota,"$27,323 ","2,382","1,104"
280,Manatee,Florida,"$27,322 ","329,487","131,197"
281,Rockingham,Virginia,"$27,298 ","76,885","29,440"
282,Madison,Virginia,"$27,296 ","13,249","5,024"
283,Cerro Gordo,Iowa,"$27,291 ","43,932","19,967"
284,Orange,Vermont,"$27,289 ","28,966","11,962"
285,Adams,Pennsylvania,"$27,284 ","101,496","38,141"
286,Yankton,South Dakota,"$27,268 ","22,518","8,698"
287,Charlottesville City,Virginia,"$27,268 ","43,663","17,443"
288,Steele,Minnesota,"$27,259 ","36,512","14,354"
289,Maricopa,Arizona,"$27,256 ","3,889,161","1,411,727"
290,Wilson,Texas,"$27,238 ","43,753","15,157"
291,Tioga,New York,"$27,230 ","50,789","20,202"
292,Hamilton,Tennessee,"$27,229 ","340,973","135,496"
293,Fredericksburg City,Virginia,"$27,222 ","25,931","9,779"
294,Deuel,Nebraska,"$27,199 ","1,952",855
295,Griggs,North Dakota,"$27,197 ","2,370","1,149"
296,Floyd,Indiana,"$27,185 ","75,120","29,087"
297,Richmond City,Virginia,"$27,184 ","207,878","84,833"
298,Ellis,Oklahoma,"$27,183 ","4,120","1,734"
299,Chaffee,Colorado,"$27,182 ","18,063","7,832"
300,Major,Oklahoma,"$27,168 ","7,604","3,084"
301,McCone,Montana,"$27,161 ","1,794",760
302,Lamoille,Vermont,"$27,157 ","24,670","10,046"
303,Decatur,Kansas,"$27,154 ","2,933","1,482"
304,Passaic,New Jersey,"$27,152 ","502,854","162,543"
305,Boone,Iowa,"$27,149 ","26,310","10,574"
306,Hillsborough,Florida,"$27,149 ","1,257,913","471,340"
307,Racine,Wisconsin,"$27,141 ","195,045","75,087"
308,Lancaster,Nebraska,"$27,141 ","289,873","115,237"
309,Brown,South Dakota,"$27,138 ","36,982","15,590"
310,Walworth,Wisconsin,"$27,130 ","102,619","39,929"
311,Carroll,Illinois,"$27,118 ","15,199","6,671"
312,Henry,Illinois,"$27,117 ","50,260","20,393"
313,Mills,Iowa,"$27,101 ","14,983","5,375"
314,Traill,North Dakota,"$27,098 ","8,125","3,306"
