rank,county,state,pc_income,pop,households
1,Jackson,Illinois,"$20,527 ","60,055","23,567"
2,Coshocton,Ohio,"$20,526 ","36,862","14,495"
3,Richmond,Georgia,"$20,526 ","201,081","72,281"
4,Bryan,Oklahoma,"$20,524 ","43,079","16,575"
5,Randolph,North Carolina,"$20,523 ","142,042","54,350"
6,Putnam,Tennessee,"$20,517 ","72,702","28,980"
7,Greenlee,Arizona,"$20,516 ","8,679","3,386"
8,Grant,Indiana,"$20,516 ","69,671","26,981"
9,Stanly,North Carolina,"$20,504 ","60,529","23,108"
10,Crawford,Indiana,"$20,504 ","10,656","4,237"
11,Floyd,Georgia,"$20,500 ","96,147","34,646"
12,Oglethorpe,Georgia,"$20,493 ","14,730","5,201"
13,Trousdale,Tennessee,"$20,491 ","7,843","2,899"
14,Shoshone,Idaho,"$20,487 ","12,729","5,714"
15,Jackson,Alabama,"$20,486 ","53,171","20,765"
16,Scott,Indiana,"$20,481 ","24,035","8,914"
17,Miami,Indiana,"$20,475 ","36,624","13,210"
18,Cloud,Kansas,"$20,467 ","9,419","4,022"
19,Forest,Wisconsin,"$20,462 ","9,255","3,739"
20,Jim Wells,Texas,"$20,452 ","41,217","13,728"
21,Nicholas,Kentucky,"$20,450 ","7,085","2,884"
22,Henderson,Tennessee,"$20,449 ","27,934","10,930"
23,Pope,Illinois,"$20,448 ","4,383","1,736"
24,Hinds,Mississippi,"$20,448 ","246,300","87,844"
25,Alexander,North Carolina,"$20,440 ","37,071","14,101"
26,Tehama,California,"$20,439 ","63,241","23,374"
27,Montgomery,Kentucky,"$20,436 ","26,762","10,168"
28,Tate,Mississippi,"$20,431 ","28,625","9,936"
29,Newton,Texas,"$20,431 ","14,340","4,865"
30,Towns,Georgia,"$20,419 ","10,551","4,261"
31,Saline,Nebraska,"$20,407 ","14,348","5,051"
32,Gibson,Tennessee,"$20,402 ","49,664","19,205"
33,Washington County,Alabama,"$20,395 ","17,284","6,620"
34,Franklin,Illinois,"$20,394 ","39,470","16,110"
35,Covington,Alabama,"$20,391 ","37,847","15,041"
36,Mercer,West Virginia,"$20,391 ","62,261","25,641"
37,Hopewell City,Virginia,"$20,388 ","22,429","8,766"
38,Marshall,Alabama,"$20,382 ","93,699","34,250"
39,Washington County,Idaho,"$20,380 ","10,094","3,938"
40,Hillsdale,Michigan,"$20,379 ","46,463","17,642"
41,Wilbarger,Texas,"$20,373 ","13,371","5,161"
42,Pocahontas,West Virginia,"$20,373 ","8,723","3,694"
43,Hart,Georgia,"$20,371 ","25,348","10,009"
44,Gladwin,Michigan,"$20,368 ","25,664","10,895"
45,Butts,Georgia,"$20,363 ","23,563","7,776"
46,Scotland,Missouri,"$20,363 ","4,859","1,915"
47,Nacogdoches,Texas,"$20,362 ","65,085","23,586"
48,Coffee,Tennessee,"$20,357 ","53,011","21,019"
49,Sumter,South Carolina,"$20,340 ","107,645","39,373"
50,Fannin,Texas,"$20,337 ","33,819","11,814"
51,Webster,Kentucky,"$20,337 ","13,564","5,150"
52,Marion,Texas,"$20,337 ","10,439","4,563"
53,Smith,Mississippi,"$20,334 ","16,414","6,269"
54,Monroe,Missouri,"$20,331 ","8,798","3,497"
55,Gogebic,Michigan,"$20,330 ","16,179","7,070"
56,Wadena,Minnesota,"$20,329 ","13,772","5,830"
57,Navarro,Texas,"$20,327 ","47,883","17,466"
58,Caldwell,Kentucky,"$20,327 ","12,946","5,232"
59,Choctaw,Alabama,"$20,323 ","13,687","5,518"
60,Blackford,Indiana,"$20,322 ","12,665","5,190"
61,Elk,Kansas,"$20,322 ","2,782","1,271"
62,Jackson,South Dakota,"$20,319 ","3,116","1,056"
63,St. Bernard,Louisiana,"$20,316 ","38,850","13,714"
64,Harnett,North Carolina,"$20,310 ","118,793","40,677"
65,Wharton,Texas,"$20,310 ","41,185","14,517"
