rank,county,state,pc_income,pop,households
1,Sullivan,Missouri,"$19,279 ","6,611","2,640"
2,Columbus,North Carolina,"$19,275 ","57,761","21,758"
3,Union,Mississippi,"$19,273 ","27,338","10,322"
4,Comanche,Texas,"$19,268 ","13,829","5,162"
5,Adair,Missouri,"$19,258 ","25,573","9,648"
6,Nowata,Oklahoma,"$19,256 ","10,580","4,050"
7,Butler,Missouri,"$19,246 ","42,946","17,085"
8,Yuba,California,"$19,244 ","72,574","24,300"
9,Chowan,North Carolina,"$19,240 ","14,782","5,945"
10,Jay,Indiana,"$19,236 ","21,333","8,179"
11,Caldwell,North Carolina,"$19,228 ","82,407","31,417"
12,Jim Hogg,Texas,"$19,212 ","5,271","1,805"
13,Carter,Kentucky,"$19,204 ","27,493","10,319"
14,Jackson,Louisiana,"$19,188 ","16,217","6,090"
15,Sanders,Montana,"$19,188 ","11,400","5,149"
16,Gordon,Georgia,"$19,177 ","55,409","19,066"
17,Camp,Texas,"$19,176 ","12,415","4,475"
18,Idaho County,Idaho,"$19,168 ","16,269","6,534"
19,Payette,Idaho,"$19,165 ","22,629","8,056"
20,Fannin,Georgia,"$19,164 ","23,614","9,940"
21,Bladen,North Carolina,"$19,154 ","34,969","14,256"
22,Laurens,South Carolina,"$19,153 ","66,457","25,184"
23,Alcorn,Mississippi,"$19,145 ","37,159","14,679"
24,Logan,Kentucky,"$19,143 ","26,822","10,912"
25,Blaine,Nebraska,"$19,141 ",586,249
26,Lawrence,Tennessee,"$19,136 ","41,927","15,862"
27,Franklin,Arkansas,"$19,135 ","18,063","6,769"
28,Polk,Arkansas,"$19,116 ","20,540","8,069"
29,Sevier,Utah,"$19,115 ","20,798","7,146"
30,Grayson,Kentucky,"$19,115 ","25,833","9,897"
31,Cleburne,Alabama,"$19,108 ","14,945","5,601"
32,Wise,Virginia,"$19,107 ","41,154","15,406"
33,Iron,Missouri,"$19,101 ","10,505","4,126"
34,McIntosh,Oklahoma,"$19,100 ","20,358","8,092"
35,Houston,Texas,"$19,090 ","23,365","7,889"
36,Woodruff,Arkansas,"$19,087 ","7,180","3,070"
37,Allen,Kentucky,"$19,086 ","20,123","8,061"
