rank,county,state,pc_income,pop,households
109,Cumberland,New Jersey,"$22,524 ","157,342","50,676"
110,Oldham,Texas,"$22,519 ","2,064",748
111,Darke,Ohio,"$22,511 ","52,666","20,776"
112,Beauregard,Louisiana,"$22,509 ","35,891","12,948"
113,Mobile,Alabama,"$22,501 ","413,188","155,178"
114,Dunn,Wisconsin,"$22,499 ","43,871","16,222"
115,Yuma,Colorado,"$22,498 ","10,093","3,811"
116,Alfalfa,Oklahoma,"$22,488 ","5,674","2,031"
117,Lea,New Mexico,"$22,484 ","65,681","21,126"
118,Upshur,Texas,"$22,483 ","39,640","14,286"
119,Kiowa,Colorado,"$22,482 ","1,423",559
120,La Salle,Louisiana,"$22,481 ","14,843","5,619"
121,Northumberland,Pennsylvania,"$22,478 ","94,444","39,348"
122,Delta,Michigan,"$22,471 ","36,967","15,885"
123,Douglas,Washington,"$22,467 ","38,807","13,976"
124,Saint Thomas,U.S. Virgin Islands,"$22,458 ","51,634","21,555"
125,Tillamook,Oregon,"$22,452 ","25,300","10,236"
126,Nuckolls,Nebraska,"$22,448 ","4,462","2,119"
127,Teton,Idaho,"$22,436 ","10,141","3,583"
128,Florence,Wisconsin,"$22,434 ","4,477","1,767"
129,Southampton,Virginia,"$22,433 ","18,444","6,708"
130,Florence,South Carolina,"$22,432 ","137,393","51,332"
131,McKean,Pennsylvania,"$22,426 ","43,294","17,450"
132,Medina,Texas,"$22,413 ","46,512","15,284"
133,Waller,Texas,"$22,412 ","43,836","13,601"
134,Johnston,North Carolina,"$22,410 ","172,321","60,759"
135,Franklin,Tennessee,"$22,398 ","40,985","16,067"
136,Lenawee,Michigan,"$22,395 ","99,505","37,754"
137,Labette,Kansas,"$22,394 ","21,369","8,703"
138,Henry,Missouri,"$22,394 ","22,183","9,551"
139,Todd,Minnesota,"$22,383 ","24,697","9,904"
140,Wyandot,Ohio,"$22,382 ","22,582","9,284"
141,Marshall,Kentucky,"$22,381 ","31,296","11,963"
142,Pontotoc,Oklahoma,"$22,381 ","37,700","14,793"
143,Montgomery,Tennessee,"$22,380 ","177,640","64,026"
144,Genesee,Michigan,"$22,380 ","421,575","165,669"
145,Belmont,Ohio,"$22,380 ","69,990","28,329"
146,Morton,Kansas,"$22,378 ","3,182","1,186"
147,Hardin,Illinois,"$22,366 ","4,273","1,800"
148,Comanche,Oklahoma,"$22,363 ","124,591","44,251"
149,Warren,Mississippi,"$22,362 ","48,389","18,404"
150,Page,Virginia,"$22,355 ","23,975","9,623"
151,Osage,Oklahoma,"$22,353 ","47,800","18,512"
152,Saginaw,Michigan,"$22,349 ","198,841","77,412"
153,Hunt,Texas,"$22,341 ","86,455","30,756"
154,Newton,Missouri,"$22,341 ","58,552","22,045"
155,Wahkiakum,Washington,"$22,334 ","4,006","1,715"
156,Menominee,Michigan,"$22,331 ","23,917","10,787"
157,Creek,Oklahoma,"$22,327 ","70,246","26,296"
158,Jefferson,Ohio,"$22,324 ","68,928","28,326"
159,Latah,Idaho,"$22,322 ","37,636","14,941"
160,Bedford City,Virginia,"$22,322 ","6,052","2,800"
161,Fulton,Illinois,"$22,318 ","36,829","14,610"
162,Baca,Colorado,"$22,318 ","3,761","1,651"
163,Morgan,West Virginia,"$22,312 ","17,502","7,343"
164,Wayne,Michigan,"$22,308 ","1,804,507","670,987"
165,Greene,Illinois,"$22,307 ","13,778","5,790"
166,Orleans,Vermont,"$22,303 ","27,184","11,043"
167,Granville,North Carolina,"$22,295 ","58,188","19,953"
168,Allen,Ohio,"$22,295 ","105,895","40,552"
169,Siskiyou,California,"$22,293 ","44,503","19,417"
170,Kearny,Kansas,"$22,292 ","3,956","1,301"
171,Crane,Texas,"$22,291 ","4,484","1,571"
172,Kanabec,Minnesota,"$22,291 ","16,151","6,277"
173,Greenwood,Kansas,"$22,280 ","6,582","2,855"
174,Clay,Illinois,"$22,279 ","13,744","5,486"
175,Philadelphia,Pennsylvania,"$22,279 ","1,536,704","580,017"
176,Ward,Texas,"$22,278 ","10,836","3,938"
177,Marion,Kansas,"$22,269 ","12,491","4,861"
178,Rabun,Georgia,"$22,260 ","16,271","6,997"
179,Union,Pennsylvania,"$22,259 ","44,932","15,062"
180,Bedford,Pennsylvania,"$22,259 ","49,490","20,198"
181,Huron,Ohio,"$22,257 ","59,390","22,361"
182,Cass,Illinois,"$22,257 ","13,530","5,134"
183,Pondera,Montana,"$22,256 ","6,166","2,302"
184,Orleans,New York,"$22,255 ","42,663","15,725"
185,Tooele,Utah,"$22,252 ","59,120","18,281"
186,Boyle,Kentucky,"$22,249 ","28,701","11,100"
187,Harding,South Dakota,"$22,247 ","1,330",527
188,Pike,Indiana,"$22,245 ","12,780","5,149"
189,Keokuk,Iowa,"$22,243 ","10,428","4,354"
190,Sevier,Tennessee,"$22,242 ","91,295","36,815"
191,Coos,Oregon,"$22,239 ","62,753","26,072"
192,Henry,Tennessee,"$22,239 ","32,293","13,473"
193,Greene,Indiana,"$22,235 ","33,001","12,894"
194,Rosebud,Montana,"$22,229 ","9,310","3,268"
195,Klickitat,Washington,"$22,229 ","20,537","8,019"
196,Sabine,Louisiana,"$22,229 ","24,286","9,175"
197,Morrow,Ohio,"$22,228 ","34,932","12,940"
198,Haskell,Texas,"$22,223 ","5,885","2,425"
199,Lewis,Washington,"$22,212 ","75,419","29,527"
200,Davis,Iowa,"$22,210 ","8,755","3,115"
201,Kay,Oklahoma,"$22,207 ","46,122","18,357"
202,La Paz,Arizona,"$22,200 ","20,408","10,221"
203,St. Lawrence,New York,"$22,198 ","112,097","41,839"
204,Adams,Wisconsin,"$22,196 ","20,741","8,278"
205,Somerset,Pennsylvania,"$22,192 ","77,341","29,791"
206,Pike,Georgia,"$22,191 ","17,807","6,140"
207,Humphreys,Tennessee,"$22,183 ","18,392","7,396"
208,Las Animas,Colorado,"$22,180 ","15,136","5,992"
209,Lawrence,Indiana,"$22,169 ","46,053","18,592"
210,Chautauqua,New York,"$22,168 ","134,156","54,863"
211,St. Martin,Louisiana,"$22,164 ","52,559","18,756"
212,Boone,Arkansas,"$22,160 ","37,099","15,086"
213,Clearwater,Minnesota,"$22,157 ","8,725","3,586"
214,Union,Georgia,"$22,156 ","21,399","9,141"
215,McCormick,South Carolina,"$22,150 ","10,091","4,069"
216,Glenn,California,"$22,148 ","28,054","9,628"
217,Anderson,Kansas,"$22,139 ","8,021","3,308"
218,Hopkins,Kentucky,"$22,132 ","46,810","18,495"
219,Wayne,Iowa,"$22,127 ","6,382","2,589"
220,Rapides,Louisiana,"$22,126 ","132,034","47,606"
221,Lyon,Kentucky,"$22,123 ","8,394","3,294"
222,Huron,Michigan,"$22,120 ","32,751","13,907"
223,East Feliciana,Louisiana,"$22,099 ","20,111","6,991"
224,Chenango,New York,"$22,097 ","50,121","19,829"
225,Knox,Illinois,"$22,093 ","52,545","21,481"
226,Garfield,Nebraska,"$22,092 ","1,947",864
227,Franklin,Maine,"$22,083 ","30,660","12,098"
228,Anderson,South Carolina,"$22,081 ","188,480","73,296"
229,Clay,North Carolina,"$22,081 ","10,599","4,431"
230,Seneca,Ohio,"$22,075 ","56,376","21,651"
231,Marengo,Alabama,"$22,072 ","20,669","8,464"
232,Trimble,Kentucky,"$22,070 ","8,818","3,512"
233,Furnas,Nebraska,"$22,068 ","4,920","2,215"
234,Texas County,Oklahoma,"$22,064 ","21,157","7,180"
235,Lincoln,Missouri,"$22,063 ","53,051","18,714"
236,Venango,Pennsylvania,"$22,060 ","54,590","22,547"
237,Ripley,Indiana,"$22,059 ","28,636","10,761"
238,White,Georgia,"$22,059 ","27,400","11,788"
239,Lake,Oregon,"$22,056 ","7,862","3,566"
240,Deer Lodge,Montana,"$22,052 ","9,285","3,855"
241,Cattaraugus,New York,"$22,049 ","79,735","32,246"
242,Massac,Illinois,"$22,047 ","15,282","6,053"
243,Perry,Arkansas,"$22,047 ","10,381","3,903"
244,Iosco,Michigan,"$22,047 ","25,662","11,172"
