pos,county,state,pc_income,medhouse_inc,medfam_inc,pop,households,exp_rate
1166,Buffalo,Wisconsin,24500.0,47384.0,58708.0,13466.0,5777.0,0.029487546381274345
1167,Bay,Florida,24498.0,47461.0,57295.0,170704.0,67561.0,0.055967352132149914
1168,Flagler,Florida,24497.0,47233.0,53823.0,97301.0,35647.0,0.0493904982071056
1169,Cuming,Nebraska,24496.0,47500.0,58654.0,9095.0,3822.0,0.05717146138501203
1170,Dorchester,South Carolina,24495.0,53857.0,62753.0,139802.0,50321.0,0.07043582434715331
1171,Winnebago,Illinois,24495.0,47072.0,58536.0,293384.0,113449.0,0.09404166279523321
1172,Jackson,Iowa,24493.0,46467.0,56474.0,19737.0,8479.0,0.03674890386062643
1173,Jones,Georgia,24485.0,51497.0,60290.0,28650.0,10384.0,0.04838390174748345
1174,Susquehanna,Pennsylvania,24477.0,48231.0,57595.0,42948.0,17163.0,0.06169786414106589
1175,Scott,Illinois,24471.0,49669.0,61563.0,5288.0,2113.0,0.061882638636687436
1176,Shelby,Indiana,24459.0,51440.0,60234.0,44511.0,17171.0,0.07153329380454013
1177,Yates,New York,24457.0,49335.0,60271.0,25293.0,9602.0,0.04122024302562791
1178,Benton,Minnesota,24453.0,52200.0,64694.0,38756.0,15359.0,0.0769863868113037
1179,Stark,Ohio,24453.0,45641.0,57381.0,375348.0,150003.0,0.0751296790628541
1180,Wayne,Nebraska,24448.0,52147.0,69696.0,9499.0,3401.0,0.060144966005828734
1181,Androscoggin,Maine,24442.0,44921.0,57444.0,107634.0,44006.0,0.07463505503301102
1182,Georgetown,South Carolina,24437.0,40131.0,51852.0,60280.0,23115.0,0.04780856472574648
1183,White Pine,Nevada,24435.0,48586.0,63982.0,10023.0,3357.0,0.03061859992626408
1184,Prince George,Virginia,24434.0,63074.0,70566.0,36462.0,10848.0,0.05798318533466491
1185,Carlton,Minnesota,24434.0,53016.0,63548.0,35398.0,13789.0,0.0341313872981174
1186,Fergus,Montana,24429.0,38344.0,52473.0,11517.0,4924.0,0.06118123462786877
1187,Polk,Oregon,24426.0,52808.0,62802.0,75930.0,28239.0,0.06945449387443038
1188,Des Moines,Iowa,24408.0,42451.0,53237.0,40301.0,16993.0,0.0800951157537157
1189,Faulkner,Arkansas,24401.0,50314.0,65155.0,115928.0,42413.0,0.04616749775858071
1190,Jackson,Oregon,24378.0,44005.0,53254.0,205117.0,83140.0,0.051325755507960986
1191,Vanderburgh,Indiana,24378.0,43540.0,58352.0,180233.0,73963.0,0.05703228425466435
1192,Antrim,Michigan,24370.0,45362.0,53125.0,23504.0,9731.0,0.020109463042825397
1193,Pepin,Wisconsin,24367.0,47701.0,58770.0,7417.0,3085.0,0.06527138920903786
1194,Coos,New Hampshire,24367.0,41985.0,53813.0,32520.0,14531.0,0.060999694183747975
1195,St. Clair,Michigan,24357.0,48066.0,58697.0,161865.0,64379.0,0.0768365102528123
1196,Calcasieu,Louisiana,24355.0,43499.0,55484.0,193528.0,73726.0,0.06471387173912592
1197,Colorado,Texas,24348.0,45146.0,55408.0,20776.0,8079.0,0.05559959091131601
1198,Morgan,Illinois,24337.0,46809.0,62224.0,35424.0,13926.0,0.05948396716464715
1199,Marshall,West Virginia,24329.0,40681.0,51779.0,32840.0,14042.0,0.03702274086951985
1200,Jack,Texas,24325.0,49038.0,64836.0,9012.0,2972.0,0.04367953992453531
1201,Sioux,Iowa,24324.0,57227.0,67067.0,34050.0,11623.0,0.09844231745712757
1202,Boise,Idaho,24324.0,41056.0,55586.0,6944.0,2994.0,0.05126760188388458
1203,Sherman,Oregon,24314.0,42639.0,57115.0,1865.0,827.0,0.017375719083722558
1204,Clark,Indiana,24312.0,50496.0,60754.0,111221.0,42502.0,0.0632032312847546
1205,Otsego,Michigan,24312.0,47584.0,56823.0,24127.0,9818.0,0.06068812621434186
1206,Bullitt,Kentucky,24308.0,54836.0,62514.0,75250.0,27874.0,0.05001269883538988
1207,Caddo,Louisiana,24308.0,41053.0,52823.0,255551.0,98554.0,0.0954762804586419
1208,Lavaca,Texas,24299.0,44149.0,54765.0,19351.0,7711.0,0.08569532353504357
1209,Jasper,Indiana,24297.0,57500.0,67259.0,33398.0,11924.0,0.03650503763532583
1210,Clark,Illinois,24296.0,47405.0,55434.0,16284.0,6568.0,0.05149823390175931
1211,Milwaukee,Wisconsin,24295.0,43193.0,55164.0,950527.0,379637.0,0.07193380450938784
1212,Ellis,Kansas,24291.0,43085.0,63712.0,28746.0,11824.0,0.05348972363259579
1213,Yamhill,Oregon,24290.0,54535.0,62284.0,99802.0,34138.0,0.054639039350323236
1214,Howard,Iowa,24286.0,46429.0,55582.0,9560.0,3884.0,0.06258748561933863
1215,Black Hawk,Iowa,24273.0,45747.0,61495.0,131468.0,52276.0,0.08491896781598478
1216,Louisa,Iowa,24272.0,50583.0,57545.0,11348.0,4381.0,0.045578871915006904
1217,Broadwater,Montana,24270.0,45932.0,49362.0,5666.0,2421.0,0.026228305012601497
1218,Wells,Indiana,24269.0,48136.0,57459.0,27707.0,10904.0,0.06759023954384215
1219,Craven,North Carolina,24260.0,47141.0,55689.0,104041.0,39931.0,0.07715344438155625
1220,Judith Basin,Montana,24260.0,41932.0,55089.0,2043.0,879.0,0.046930533941715674
1221,Rich,Utah,24258.0,50000.0,65250.0,2279.0,664.0,0.028834235274511583
1222,Gibson,Indiana,24258.0,49329.0,61861.0,33514.0,13094.0,0.02976739707492747
1223,Nez Perce,Idaho,24257.0,46503.0,58875.0,39458.0,16019.0,0.03777308657661028
1224,Bexar,Texas,24253.0,50112.0,58289.0,1753238.0,604698.0,0.11678093974642723
1225,Ector,Texas,24247.0,51466.0,59067.0,141542.0,49962.0,0.05066059447650584
1226,Franklin,Mississippi,24234.0,32372.0,39234.0,8013.0,3311.0,0.034277554222661176
1227,Lane,Oregon,24224.0,42931.0,56605.0,353382.0,144912.0,0.04506462468743983
1228,Platte,Nebraska,24219.0,51213.0,60814.0,32350.0,12477.0,0.0762286687652457
1229,Adams,Illinois,24217.0,45073.0,58992.0,67152.0,26912.0,0.07031949384297337
1230,Marshall,South Dakota,24205.0,46597.0,64375.0,4657.0,1683.0,0.03693601339122731
1231,Webster,Iowa,24203.0,41624.0,57137.0,37626.0,15458.0,0.09580327762435036
1232,Wabaunsee,Kansas,24199.0,54694.0,65417.0,7050.0,2693.0,0.047993399782840486
1233,Adams,Colorado,24195.0,56270.0,64611.0,452030.0,152803.0,0.0722248179740948
1234,Wyoming,Pennsylvania,24195.0,48482.0,58479.0,28177.0,10992.0,0.021833908250897302
1235,Erie,Pennsylvania,24189.0,45202.0,58451.0,280518.0,109675.0,0.06812587751167291
1236,Lake,Florida,24183.0,45035.0,54237.0,300926.0,117250.0,0.06834537153456621
