pos,county,state,pc_income,medhouse_inc,medfam_inc,pop,households,exp_rate,NE_dum,MW_dum,W_dum,S_dum
0,Arlington,Virginia,62018.0,103208.0,139244.0,214861.0,94454.0,0.06784266339248965,0,0,0,1
1,Marin,California,56791.0,90839.0,117357.0,254643.0,102912.0,0.08751703241726827,0,0,1,0
2,Pitkin,Colorado,51814.0,72745.0,93981.0,17173.0,7507.0,0.022957370480067123,0,0,1,0
3,Los Alamos,New Mexico,51044.0,106686.0,124979.0,17979.0,7590.0,0.032178966587902334,0,0,1,0
4,Fairfax,Virginia,50532.0,110292.0,128596.0,1101071.0,389908.0,0.10081176745197547,0,0,0,1
5,Hunterdon,New Jersey,50349.0,106143.0,125828.0,127047.0,46816.0,0.055325404324664026,1,0,0,0
6,Borden,Texas,50042.0,71607.0,76250.0,649.0,225.0,0.0729023652303455,0,0,0,1
7,Montgomery,Maryland,49038.0,98221.0,117408.0,989474.0,360563.0,0.09737932669017353,0,0,0,1
8,Morris,New Jersey,48814.0,98633.0,117683.0,495261.0,179665.0,0.07526914911456092,1,0,0,0
9,Fairfield,Connecticut,48721.0,82283.0,104250.0,926233.0,332655.0,0.0912297174221034,1,0,0,0
10,San Francisco,California,48486.0,75604.0,90116.0,817501.0,345344.0,0.08154416044028952,0,0,1,0
11,Howard,Maryland,48172.0,109865.0,128657.0,293821.0,106142.0,0.07480888922515598,0,0,0,1
12,Westchester,New York,47984.0,81946.0,105341.0,956283.0,343561.0,0.07426748061996068,1,0,0,0
13,Somerset,New Jersey,47803.0,99020.0,117393.0,326207.0,115531.0,0.059063955963593553,1,0,0,0
14,Nantucket,Massachusetts,47331.0,85478.0,92500.0,10224.0,4069.0,0.03793776184029249,1,0,0,0
15,Loudoun,Virginia,46565.0,122238.0,133550.0,326477.0,106997.0,0.08514859663395487,0,0,0,1
16,San Mateo,California,45732.0,88202.0,105844.0,729543.0,257941.0,0.07526827315950124,0,0,1,0
17,Goochland,Virginia,45039.0,80976.0,92042.0,21565.0,8058.0,0.05968840909157047,0,0,0,1
18,Norfolk,Massachusetts,44692.0,84916.0,108943.0,677296.0,257451.0,0.10059209785522245,1,0,0,0
19,Douglas,Colorado,43634.0,101591.0,112930.0,293014.0,103780.0,0.07161788701484147,0,0,1,0
20,Teton,Wyoming,43444.0,68078.0,83558.0,21575.0,7583.0,0.059694641121656816,0,0,1,0
21,Bergen,New Jersey,43347.0,83794.0,102222.0,912795.0,335422.0,0.09473287137953802,1,0,0,0
22,Middlesex,Massachusetts,42861.0,82090.0,104032.0,1522533.0,581120.0,0.09297359240244815,1,0,0,0
